Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2016-03-29,24.410232543945312,24.435168841038994,23.775493266238612,23.77776067402678,124760400
2016-03-30,24.8364200592041,25.031375671524557,24.618795551630864,24.630130864020177,182404400
2016-03-31,24.707202911376953,24.913493814859084,24.68226661030712,24.8726891157926,103553600
2016-04-01,24.93389320373535,24.936160611694472,24.52811365532926,24.659595644549775,103496000
2016-04-04,25.19005584716797,25.432616604933102,24.99736595616047,25.03137015631035,149424800
2016-04-05,24.893096923828125,25.1016552884373,24.804687008314083,24.82509022779292,106314800
2016-04-06,25.153789520263672,25.15832433698267,24.754810395757254,24.988305030062563,105616400
2016-04-07,24.605199813842773,25.031381015976955,24.50998939573719,24.924835283061856,127207600
2016-04-08,24.63239097595215,24.884017887106307,24.521310481923138,24.689064062059686,94326800
2016-04-11,24.71400260925293,25.07444439430326,24.670932232951458,24.70266902792122,117630000
